lid,lname,lnum,credit,semester,pid
200960,SQL최적화0960,JNU0960,1,2026-1,1
200961,전남대공개학과데이터분석0961,JNU0961,2,2026-1,2
200962,학사정보시스템0962,JNU0962,3,2026-1,3
200963,수강신청데이터베이스0963,JNU0963,1,2026-1,4
200964,성적관리실습0964,JNU0964,2,2026-1,5
200965,교육데이터마이닝0965,JNU0965,3,2026-1,6
200966,대학행정정보처리0966,JNU0966,1,2026-1,7
200967,공개데이터활용0967,JNU0967,2,2026-1,8
200968,SQL최적화0968,JNU0968,3,2026-1,1
200969,전남대공개학과데이터분석0969,JNU0969,1,2026-1,2
200970,학사정보시스템0970,JNU0970,2,2026-1,3
200971,수강신청데이터베이스0971,JNU0971,3,2026-1,4
200972,성적관리실습0972,JNU0972,1,2026-1,5
200973,교육데이터마이닝0973,JNU0973,2,2026-1,6
200974,대학행정정보처리0974,JNU0974,3,2026-1,7
200975,공개데이터활용0975,JNU0975,1,2026-1,8
200976,SQL최적화0976,JNU0976,2,2026-1,1
200977,전남대공개학과데이터분석0977,JNU0977,3,2026-1,2
200978,학사정보시스템0978,JNU0978,1,2026-1,3
200979,수강신청데이터베이스0979,JNU0979,2,2026-1,4
200980,성적관리실습0980,JNU0980,3,2026-1,5
200981,교육데이터마이닝0981,JNU0981,1,2026-1,6
200982,대학행정정보처리0982,JNU0982,2,2026-1,7
200983,공개데이터활용0983,JNU0983,3,2026-1,8
200984,SQL최적화0984,JNU0984,1,2026-1,1
200985,전남대공개학과데이터분석0985,JNU0985,2,2026-1,2
200986,학사정보시스템0986,JNU0986,3,2026-1,3
200987,수강신청데이터베이스0987,JNU0987,1,2026-1,4
200988,성적관리실습0988,JNU0988,2,2026-1,5
200989,교육데이터마이닝0989,JNU0989,3,2026-1,6
200990,대학행정정보처리0990,JNU0990,1,2026-1,7
200991,공개데이터활용0991,JNU0991,2,2026-1,8
200992,SQL최적화0992,JNU0992,3,2026-1,1
200993,전남대공개학과데이터분석0993,JNU0993,1,2026-1,2
200994,학사정보시스템0994,JNU0994,2,2026-1,3
200995,수강신청데이터베이스0995,JNU0995,3,2026-1,4
200996,성적관리실습0996,JNU0996,1,2026-1,5
200997,교육데이터마이닝0997,JNU0997,2,2026-1,6
200998,대학행정정보처리0998,JNU0998,3,2026-1,7
200999,공개데이터활용0999,JNU0999,1,2026-1,8
201000,SQL최적화1000,JNU1000,2,2026-1,1
